Score,Total # of Trades,Current Trades,Unrated Trades,Curr Neg Trades,Hist Neg Trades,No. of Accts Paid,Curr Past Due,Amount Past due,30 Days,60 Days,90+ days,Inquiries,Inq. Last 6 Months,Public Records,Collections,Oldest Trade,Accounts Balance,Monthly Payment,Credit Limit,High Credit,Total Real Est. Bal,Total Rev. Bal,Tot. Installment Bal,Available %
564,27,7,0,6,0,0,13," $23,459.00 ",8,4,26,5,2,1,10,01/02/2009," $82,433.00 ", $513.00 , $400.00 ," $76,557.00 ", $-   ," $2,123.00 "," $58,571.00 ",0%
549,37,7,0,0,0,7,13," $10,811.00 ",44,48,79,11,3,1,5,01/04/2011," $58,947.00 ", $62.00 , $300.00 ," $89,981.00 ", $-   ," $2,650.00 "," $47,191.00 ",3%
679,5,5,0,0,0,0,0, $-   ,0,0,0,1,0,0,0,01/07/2019," $19,257.00 ", $75.00 , $-   ," $19,529.00 ", $-   , $-   ," $19,257.00 ",0%
676,35,30,0,0,0,4,0, $-   ,4,1,3,9,0,0,0,01/11/2012," $192,047.00 "," $1,095.00 "," $17,800.00 "," $261,769.00 ", $-   ," $17,060.00 "," $174,987.00 ",0%
530,11,2,0,1,1,0,7," $1,820.00 ",15,4,7,1,0,0,2,01/07/2013," $22,388.00 ", $835.00 , $550.00 ," $35,658.00 ", $-   ," $1,951.00 "," $19,861.00 ",0%
634,55,23,0,5,0,19,0, $-   ,29,7,8,4,1,0,0,01/06/2011," $64,294.00 "," $1,038.00 "," $2,750.00 "," $129,262.00 ", $-   ," $5,810.00 "," $58,053.00 ",22%
637,10,8,0,0,0,0,2," $1,628.00 ",0,0,0,0,1,0,1,01/03/2007," $66,373.00 ", $529.00 ," $22,000.00 "," $83,330.00 ", $-   ," $8,291.00 "," $56,454.00 ",62%
542,15,2,0,4,0,3,4," $2,772.00 ",1,0,4,6,3,0,4,01/11/2014," $18,979.00 ", $450.00 , $-   ," $19,183.00 ", $-   , $-   ," $16,207.00 ",0%
607,27,3,0,4,0,7,3," $5,007.00 ",20,10,25,5,2,0,4,01/03/2008," $6,685.00 ", $169.00 ," $5,450.00 "," $44,065.00 ", $-   ," $1,678.00 ", $-   ,69%
510,13,2,0,0,0,1,9," $11,884.00 ",8,7,23,21,1,0,2,01/02/2014," $18,146.00 ", $475.00 , $-   ," $32,780.00 ", $-   ," $2,190.00 "," $6,262.00 ",0%
459,11,0,0,0,0,0,6," $17,827.00 ",11,15,54,8,0,0,2,01/01/2011," $17,827.00 ", $-   , $-   ," $45,324.00 ", $-   , $897.00 , $-   ,0%
690,59,22,0,0,0,27,1," $2,061.00 ",29,48,82,8,0,0,0,01/12/1999," $161,900.00 "," $3,551.00 "," $12,359.00 "," $307,697.00 ", $-   ," $8,464.00 "," $153,436.00 ",48%
542,33,9,0,0,1,3,11," $22,815.00 ",8,4,3,16,4,0,7,01/05/2012," $157,499.00 ", $239.00 , $925.00 ," $207,829.00 ", $-   ," $1,965.00 "," $134,154.00 ",34%
647,14,8,0,0,0,6,0, $-   ,0,0,0,5,0,0,0,01/01/2017," $37,994.00 "," $1,198.00 ", $300.00 ," $60,027.00 ", $-   , $205.00 ," $37,789.00 ",32%
599,38,6,0,0,0,13,0, $-   ,12,11,12,6,5,1,0,01/10/2009," $13,647.00 ", $372.00 ," $6,551.00 "," $190,309.00 ", $-   , $453.00 ," $13,194.00 ",93%
707,18,15,0,0,0,3,0, $-   ,0,0,0,4,2,0,0,01/06/2015," $16,137.00 ", $808.00 ," $22,440.00 "," $35,982.00 ", $-   ," $9,352.00 "," $6,785.00 ",58%
662,23,16,0,0,0,1,0, $-   ,48,115,15,10,2,1,0,01/12/1999," $150,837.00 "," $2,593.00 "," $6,150.00 "," $179,460.00 "," $112,465.00 "," $2,798.00 "," $148,039.00 ",55%
758,4,2,0,0,0,2,0, $-   ,0,0,0,1,0,0,0,01/09/2004, $181.00 , $25.00 ," $3,100.00 "," $2,456.00 ", $-   , $181.00 , $-   ,94%
